name,year,miles,color,condition,price
Toyota Corolla,2021,"44,630 miles","Gray exterior, Black interior","1 accident reported, 2 Owners",17000
Nissan Altima,2015,"101,629 miles","Black exterior, Black interior","No accidents reported, 2 Owners",12599
Ford Transit Connect Van,2019,"66,478 miles","White exterior, Black interior","No accidents reported, 1 Owner",22995
Mercedes-Benz C-Class,2021,"18,769 miles","Silver exterior, Unknown interior","No accidents reported, 1 Owner",29990
Ford Explorer,2020,"31,907 miles","Gray exterior, Black interior","No accidents reported, 1 Owner",39998
Honda Odyssey,2020,"26,469 miles","White exterior, Gray interior","No accidents reported, 1 Owner",31997
Honda Civic,2021,"27,185 miles","White exterior, Black interior","No accidents reported, 1 Owner",25998
Ford Fiesta,2014,"97,490 miles","Gray exterior, Black interior","1 accident reported, 3 Owners",10998
Nissan Sentra,2015,"56,977 miles","Black exterior, Black interior","No accidents reported, 3 Owners",14998
Toyota Venza,2014,"113,327 miles","Silver exterior, Gray interior","2 accidents reported, 4 Owners",14599
Mercedes-Benz GLC,2019,"37,682 miles","Black exterior, Black interior","No accidents reported, 1 Owner",26998
Ford Explorer,2022,"10,608 miles","White exterior, Black interior","No accidents reported, 1 Owner",45828
Ford Fusion,2015,"83,650 miles","White exterior, Gray interior","No accidents reported, 1 Owner",11995
Honda Civic,2019,"45,246 miles","White exterior, Black interior","No accidents reported, 2 Owners",21998
Volvo S60,2018,"55,196 miles","Gray exterior, Black interior","No accidents reported, 2 Owners",18975
Ford Mustang,2015,"107,676 miles","Orange exterior, Black interior","No accidents reported, 2 Owners",14300
Volkswagen Tiguan,2020,"17,193 miles","Black exterior, Black interior","No accidents reported, 1 Owner",19490
Mercedes-Benz GLE,2016,"69,891 miles","White exterior, Gray interior","1 accident reported, 1 Owner",22998
Mercedes-Benz S-Class,2014,"88,900 miles","White exterior, Beige interior","No accidents reported, 1 Owner",24502
Volkswagen Tiguan,2019,"73,055 miles","White exterior, Black interior","No accidents reported, 1 Owner",18998
Chevrolet Traverse,2020,"57,826 miles","White exterior, Black interior","1 accident reported, 1 Owner",28600
Mercedes-Benz C-Class,2020,"30,791 miles","Silver exterior, Gray interior","1 accident reported, 1 Owner",24791
Toyota Corolla,2021,"11,703 miles","Black exterior, Gray interior","No accidents reported, 1 Owner",18782
Mercedes-Benz CLA,2023,"9,735 miles","White exterior, Black interior","No accidents reported, 1 Owner",37815
Honda HR-V,2023,"3,590 miles","Unknown exterior, Gray interior","No accidents reported, 1 Owner",24480
