name,year,miles,color,condition,price
Ford Fusion,2018,"68,502 miles","Silver exterior, Gray interior","No accidents reported, 1 Owner",18998
Jeep Compass,2018,"58,555 miles","White exterior, Black interior","No accidents reported, 2 Owners",16995
Kia Soul,2020,"64,638 miles","White exterior, Black interior","No accidents reported, 2 Owners",20998
Acura MDX,2020,"36,904 miles","Gray exterior, Black interior","No accidents reported, 1 Owner",28545
Mercedes-Benz C-Class,2023,"3,755 miles","Black exterior, Black interior","No accidents reported, 1 Owner",45940
Volkswagen Golf Alltrack,2017,"96,810 miles","Black exterior, Beige interior","1 accident reported, 1 Owner",17176
Cadillac CT4,2020,"36,682 miles","White exterior, Black interior","No accidents reported, 1 Owner",31995
Kia Optima,2016,"103,378 miles","Purple exterior, Beige interior","No accidents reported, 4 Owners",8400
Mercedes-Benz CLA,2015,"76,806 miles","Black exterior, Black interior","1 accident reported, 2 Owners",13494
Chevrolet Cruze,2018,"107,459 miles","Blue exterior, Black interior","2 accidents reported, 1 Owner",10998
Hyundai Tucson,2021,"27,131 miles","Gray exterior, Gray interior","No accidents reported, 1 Owner",21998
Mazda CX-5,2023,"6,869 miles","Blue exterior, Black interior","No accidents reported, 1 Owner",30750
Subaru Outback,2021,"40,623 miles","Gray exterior, Gray interior","No accidents reported, 1 Owner",24488
Nissan Altima,2020,"44,619 miles","Silver exterior, Black interior","No accidents reported, 1 Owner",17999
Toyota Prius Prime,2018,"54,061 miles","Gray exterior, Black interior","1 accident reported, 1 Owner",23998
Ford Explorer,2018,"54,327 miles","Black exterior, Black interior","1 accident reported, 2 Owners",20485
Aston Martin Vantage,2020,"4,080 miles","Gray exterior, Black interior","No accidents reported, 1 Owner",105888
Chevrolet Suburban,2022,"63,673 miles","Gray exterior, Black interior","No accidents reported, 1 Owner",52400
Hyundai Santa Fe Sport,2018,"30,035 miles","Gray exterior, Beige interior","No accidents reported, 1 Owner",19998
Acura MDX,2022,"41,907 miles","Black exterior, Black interior","No accidents reported, 1 Owner",36965
BMW 3 Series,2011,"108,470 miles","Gray exterior, Unknown interior","No accidents reported, 4 Owners",7995
BMW X5,2015,"134,985 miles","Unknown exterior, Unknown interior","2 accidents reported, 2 Owners",14995
Nissan Altima,2020,"40,274 miles","White exterior, Black interior","No accidents reported, 1 Owner",17991
Mazda CX-5,2019,"33,975 miles","White exterior, Beige interior","No accidents reported, 2 Owners",23998
Mazda CX-5,2020,"32,289 miles","White exterior, Black interior","No accidents reported, 1 Owner",22495
Chevrolet Malibu,2022,"33,164 miles","Gray exterior, Gray interior","No accidents reported, 1 Owner",19998
Ford F-150,2019,"104,905 miles","White exterior, Gray interior","No accidents reported, 1 Owner",15999
Ford Fusion,2020,"68,861 miles","Unknown exterior, Unknown interior","No accidents reported, 1 Owner",18991
Jeep Compass,2022,"13,977 miles","Black exterior, Black interior","1 accident reported, 1 Owner",23959
Chevrolet Equinox,2015,"94,668 miles","Black exterior, Black interior","No accidents reported, 2 Owners",14998
Dodge Charger,2021,"41,440 miles","Black exterior, Black interior","No accidents reported, 2 Owners",27888
Mercedes-Benz C-Class,2018,"59,515 miles","Black exterior, Black interior","No accidents reported, 2 Owners",22998
Mercedes-Benz C-Class,2019,"73,296 miles","Black exterior, Black interior","No accidents reported, 2 Owners",20999
Chevrolet Trailblazer,2023,"8,957 miles","Gray exterior, Black interior","No accidents reported, 0 Owners",25777
Toyota Tacoma,2017,"76,815 miles","Black exterior, Gray interior","1 accident reported, 3 Owners",27500
Nissan Pathfinder,2017,"103,260 miles","Black exterior, Black interior","No accidents reported, 3 Owners",10995
BMW 4 Series,2017,"58,597 miles","Black exterior, Black interior","No accidents reported, 2 Owners",21998
Subaru Forester,2017,"83,415 miles","Silver exterior, Black interior","No accidents reported, 2 Owners",17595
BMW 3 Series,2014,"44,920 miles","Black exterior, Brown interior","No accidents reported, 2 Owners",18998
Dodge Durango,2018,"82,734 miles","Black exterior, Black interior","No accidents reported, 2 Owners",42998
Hyundai Santa Fe,2023,"6,659 miles","Blue exterior, Black interior","No accidents reported, 1 Owner",32998
Honda Accord,2021,"27,681 miles","Red exterior, Black interior","No accidents reported, 1 Owner",23751
Land Rover Defender,2023,"7,815 miles","Gray exterior, Black interior","No accidents reported, 1 Owner",74222
Ram 1500,2022,"28,537 miles","White exterior, Black interior","No accidents reported, 1 Owner",41998
Toyota Camry,2007,"153,200 miles","White exterior, Black interior","No accidents reported, 2 Owners",6500
Ford Focus,2014,"74,255 miles","Black exterior, Black interior","No accidents reported, 2 Owners",8999
Toyota Corolla,2021,"34,105 miles","White exterior, Black interior","No accidents reported, 1 Owner",21998
Chevrolet Camaro,2012,"86,277 miles","Silver exterior, Gray interior","1 accident reported, 5 Owners",11999
Kia Sorento,2012,"122,903 miles","Silver exterior, Black interior","No accidents reported, 1 Owner",7498
Ford Escape,2020,"14,991 miles","White exterior, Gray interior","No accidents reported, 1 Owner",21998
Audi A3,2023,"3,670 miles","Black exterior, Black interior","No accidents reported, 1 Owner",31894
Chrysler Pacifica,2022,"39,767 miles","Gray exterior, Black interior","No accidents reported, 1 Owner",27998
Land Rover Range Rover,2009,"116,233 miles","Unknown exterior, Unknown interior","1 accident reported, 5 Owners",10995
Ram 1500,2019,"97,414 miles","Red exterior, Black interior","No accidents reported, 2 Owners",27998
BMW 4 Series,2021,"11,709 miles","Gray exterior, Black interior","No accidents reported, 1 Owner",35999
Honda HR-V,2018,"38,144 miles","Gray exterior, Black interior","No accidents reported, 1 Owner",18080
Acura MDX,2017,"100,531 miles","White exterior, Brown interior","No accidents reported, 2 Owners",20998
Ford F-150,2020,"53,981 miles","Black exterior, Black interior","No accidents reported, 2 Owners",39998
Jeep Grand Cherokee,2017,"110,677 miles","Black exterior, Black interior","1 accident reported, 2 Owners",15995
Hyundai Kona,2022,"30,250 miles","Silver exterior, Black interior","No accidents reported, 1 Owner",18998
Kia Optima,2019,"55,465 miles","Silver exterior, Black interior","2 accidents reported, 4 Owners",17998
Jeep Wrangler,2018,"28,546 miles","Black exterior, Black interior","No accidents reported, 1 Owner",34998
Jeep Grand Cherokee,2020,"64,488 miles","Black exterior, Black interior","No accidents reported, 1 Owner",24497
Ford Mustang,2017,"15,404 miles","Red exterior, Black interior","No accidents reported, 3 Owners",28499
Kia Forte,2023,"10,189 miles","Gray exterior, Black interior","No accidents reported, 1 Owner",21991
Volkswagen Jetta,2021,"61,784 miles","Blue exterior, Black interior","No accidents reported, 1 Owner",17851
Ram 1500,2021,"85,851 miles","Silver exterior, Gray interior","No accidents reported, 2 Owners",31990
Ford Fusion,2019,"92,186 miles","White exterior, Black interior","No accidents reported, 2 Owners",13290
Ford Escape,2017,"66,095 miles","White exterior, Black interior","No accidents reported, 2 Owners",13009
Ford Transit Passenger Wagon,2022,"34,735 miles","White exterior, Black interior","No accidents reported, 1 Owner",52997
Ford Escape,2017,"104,814 miles","Black exterior, Black interior","No accidents reported, 2 Owners",9950
Land Rover Range Rover Sport,2020,"58,917 miles","White exterior, Unknown interior","No accidents reported, 1 Owner",38775
Mercedes-Benz GLC,2022,"56,463 miles","White exterior, Black interior","No accidents reported, 1 Owner",31995
Land Rover Discovery Sport,2016,"117,120 miles","Black exterior, Black interior","No accidents reported, 2 Owners",15995
Ford Explorer,2020,"41,568 miles","White exterior, Beige interior","No accidents reported, 1 Owner",30998
Honda Civic,2014,"103,064 miles","Gray exterior, Gray interior","No accidents reported, 2 Owners",11500
Maserati Ghibli,2019,"17,904 miles","White exterior, Black interior","No accidents reported, 1 Owner",36987
Chrysler Pacifica,2022,"23,813 miles","Black exterior, Black interior","No accidents reported, 2 Owners",31998
Chevrolet Malibu,2022,"36,231 miles","Silver exterior, Black interior","No accidents reported, 1 Owner",19998
Volvo V60,2020,"16,883 miles","White exterior, Unknown interior","No accidents reported, 2 Owners",32991
Genesis G70,2023,"4,818 miles","Blue exterior, Gray interior","No accidents reported, 1 Owner",37000
GMC Yukon,2015,"90,045 miles","Black exterior, Black interior","No accidents reported, 2 Owners",23999
Toyota Sienna,2015,"113,479 miles","Silver exterior, Black interior","No accidents reported, 1 Owner",19998
Toyota Corolla,2021,"53,024 miles","Blue exterior, Gray interior","No accidents reported, 1 Owner",18099
Volvo XC90,2020,"35,793 miles","Gray exterior, Beige interior","No accidents reported, 1 Owner",33395
Cadillac XT4,2021,"14,617 miles","White exterior, Black interior","No accidents reported, 1 Owner",31995
BMW X3,2020,"18,784 miles","Gray exterior, Black interior","No accidents reported, 1 Owner",29171
BMW 3 Series,2017,"57,798 miles","White exterior, Black interior","1 accident reported, 3 Owners",19998
Mercedes-Benz R-Class,2012,"163,810 miles","White exterior, Beige interior","No accidents reported, 2 Owners",8995
Honda Odyssey,2018,"58,553 miles","Black exterior, Black interior","No accidents reported, 1 Owner",29468
Ford Transit Connect Van,2019,"82,497 miles","White exterior, Black interior","No accidents reported, 1 Owner",20997
Chevrolet Silverado 1500,2020,"38,367 miles","Black exterior, Black interior","1 accident reported, 1 Owner",35998
Porsche Cayman,2007,"102,373 miles","Silver exterior, Black interior","No accidents reported, 4 Owners",16981
Audi A5,2018,"50,180 miles","White exterior, Brown interior","1 accident reported, 2 Owners",28333
Audi A5,2015,"105,026 miles","Black exterior, Black interior","No accidents reported, 2 Owners",14995
INFINITI QX60,2019,"66,885 miles","White exterior, Beige interior","No accidents reported, 1 Owner",21498
Ford Explorer,2002,"158,000 miles","Black exterior, Unknown interior","No accidents reported, 3 Owners",4400
BMW X5,2021,"38,845 miles","Black exterior, Unknown interior","No accidents reported, 1 Owner",41998
Ford Explorer,2020,"50,559 miles","Red exterior, Black interior","No accidents reported, 1 Owner",24988
GMC Sierra 1500,2021,"56,315 miles","Black exterior, Black interior","1 accident reported, 2 Owners",46222
BMW X1,2018,"49,680 miles","White exterior, Black interior","2 accidents reported, 3 Owners",22998
Mercedes-Benz GLE,2021,"22,440 miles","White exterior, Black interior","No accidents reported, 1 Owner",45997
Hyundai Sonata,2017,"132,076 miles","White exterior, Gray interior","No accidents reported, 2 Owners",8569
GMC Terrain,2020,"63,102 miles","Black exterior, Black interior","No accidents reported, 1 Owner",19300
Audi S7,2022,"16,155 miles","White exterior, Red interior","1 accident reported, 2 Owners",73865
Toyota Tacoma,2021,"33,465 miles","Black exterior, Gray interior","No accidents reported, 1 Owner",34732
Chevrolet Impala,2004,"165,172 miles","Silver exterior, Gray interior","No accidents reported, 1 Owner",4998
Toyota Sienna,2022,"59,790 miles","Red exterior, Gray interior","No accidents reported, 1 Owner",33994
Jeep Compass,2021,"45,700 miles","Silver exterior, Black interior","No accidents reported, 1 Owner",21700
Chevrolet Express Cargo Van,2017,"128,705 miles","White exterior, Gray interior","No accidents reported, 2 Owners",17500
BMW X3,2013,"119,424 miles","Black exterior, Black interior","No accidents reported, 1 Owner",10000
Volkswagen Jetta,2014,"35,687 miles","Silver exterior, Black interior","No accidents reported, 2 Owners",14998
BMW X5,2021,"49,339 miles","Black exterior, Black interior","No accidents reported, 1 Owner",36498
BMW Z3,2000,"24,536 miles","Gray exterior, Black interior","No accidents reported, 2 Owners",13750
Mazda CX-3,2017,"39,086 miles","Gray exterior, Black interior","1 accident reported, 2 Owners",18998
Toyota Prius,2015,"93,421 miles","White exterior, Gray interior","No accidents reported, 1 Owner",16998
Mercedes-Benz CLA,2023,"9,070 miles","Red exterior, Beige interior","No accidents reported, 1 Owner",40820
Cadillac Escalade,2021,"38,017 miles","Black exterior, Black interior","No accidents reported, 1 Owner",80991
Mercedes-Benz GLC,2020,"29,902 miles","White exterior, Black interior","No accidents reported, 1 Owner",27995
Honda Civic,2021,"21,299 miles","Blue exterior, Black interior","No accidents reported, 1 Owner",21900
Dodge Challenger,2014,"33,306 miles","Black exterior, Gray interior","No accidents reported, 2 Owners",24998
Ford F-150,2020,"39,696 miles","Black exterior, Black interior","No accidents reported, 1 Owner",58975
Kia Optima,2013,"69,036 miles","Silver exterior, Beige interior","1 accident reported, 1 Owner",12995
BMW 3 Series,2011,"112,325 miles","Black exterior, Black interior","1 accident reported, 3 Owners",8495
Chevrolet Malibu,2021,"62,054 miles","White exterior, Black interior","1 accident reported, 1 Owner",17998
Mazda CX-5,2019,"92,172 miles","Gray exterior, Black interior","2 accidents reported, 1 Owner",15995
Volkswagen Atlas,2021,"30,560 miles","Silver exterior, Brown interior","2 accidents reported, 1 Owner",33500
Ford Bronco,2022,"7,511 miles","Gray exterior, Black interior","No accidents reported, 1 Owner",56215
Jeep Compass,2014,"139,011 miles","Gray exterior, Gray interior","No accidents reported, 2 Owners",6995
Ford F-150,2020,"108,847 miles","White exterior, Gray interior","No accidents reported, 1 Owner",22900
Nissan Rogue,2023,"1,942 miles","Gray exterior, Black interior","No accidents reported, 1 Owner",31891
Kia Optima,2020,"40,236 miles","Black exterior, Black interior","No accidents reported, 1 Owner",17288
Subaru Outback,2020,"56,974 miles","Blue exterior, Gray interior","1 accident reported, 1 Owner",21495
Chevrolet Camaro,2012,"138,527 miles","Black exterior, Black interior","2 accidents reported, 5 Owners",8995
Ford Edge,2020,"51,820 miles","White exterior, Beige interior","No accidents reported, 2 Owners",19999
Saturn Aura,2007,"63,951 miles","Gray exterior, Beige interior","No accidents reported, 2 Owners",5599
Toyota RAV4,2021,"18,456 miles","Silver exterior, Black interior","No accidents reported, 1 Owner",30987
Nissan Rogue,2015,"63,000 miles","Silver exterior, Black interior","No accidents reported, 2 Owners",13988
Nissan Rogue,2023,"6,889 miles","Black exterior, Black interior","No accidents reported, 1 Owner",26991
Chevrolet Silverado 1500,2018,"54,592 miles","White exterior, Black interior","1 accident reported, 2 Owners",33998
Honda CR-V,2021,"52,821 miles","Silver exterior, Black interior","No accidents reported, 1 Owner",22501
Nissan Versa,2021,"64,380 miles","Gray exterior, Gray interior","No accidents reported, 1 Owner",15500
BMW 3 Series,2020,"30,161 miles","White exterior, Black interior","No accidents reported, 1 Owner",24202
Ford Escape,2020,"35,626 miles","White exterior, Unknown interior","1 accident reported, 1 Owner",22998
Acura TLX,2018,"53,680 miles","White exterior, Black interior","No accidents reported, 3 Owners",21999
Toyota Highlander,2021,"27,089 miles","Gray exterior, Black interior","No accidents reported, 1 Owner",39995
Nissan Rogue Sport,2022,"12,713 miles","White exterior, Gray interior","No accidents reported, 1 Owner",26988
Honda Accord,2008,"110,820 miles","White exterior, Beige interior","1 accident reported, 1 Owner",8998
Mitsubishi Outlander,2019,"89,075 miles","Black exterior, Black interior","1 accident reported, 3 Owners",10995
Ford Fusion,2019,"46,770 miles","Red exterior, Black interior","No accidents reported, 1 Owner",18988
Honda Civic,2016,"46,806 miles","Black exterior, Unknown interior","No accidents reported, 1 Owner",18995
Chrysler 300,2017,"89,970 miles","White exterior, Beige interior","1 accident reported, 3 Owners",13999
Mercedes-Benz M-Class,2013,"89,695 miles","Black exterior, Beige interior","No accidents reported, 2 Owners",12456
Toyota Camry,2020,"43,209 miles","White exterior, Black interior","2 accidents reported, 2 Owners",24998
Jeep Wrangler,2020,"28,983 miles","Gray exterior, Black interior","No accidents reported, 1 Owner",37998
Cadillac Escalade,2020,"22,460 miles","Gray exterior, Black interior","1 accident reported, 1 Owner",57995
Chevrolet Silverado 1500,2021,"45,851 miles","Gray exterior, Black interior","No accidents reported, 1 Owner",29995
Mercedes-Benz GLC,2019,"102,692 miles","White exterior, Black interior","1 accident reported, 2 Owners",16991
Kia Forte,2021,"31,720 miles","Gray exterior, Black interior","No accidents reported, 1 Owner",17995
MINI Countryman,2020,"15,778 miles","Gray exterior, Black interior","No accidents reported, 1 Owner",24000
Kia Forte,2021,"22,073 miles","Gray exterior, Black interior","1 accident reported, 1 Owner",17856
Mercedes-Benz GLC,2021,"13,279 miles","Blue exterior, Black interior","No accidents reported, 1 Owner",32495
Toyota Highlander,2019,"34,585 miles","White exterior, Gray interior","No accidents reported, 1 Owner",26490
Honda Pilot,2022,"25,031 miles","Black exterior, Black interior","No accidents reported, 1 Owner",29408
Kia Seltos,2021,"35,836 miles","Blue exterior, Black interior","No accidents reported, 1 Owner",21392
Acura MDX,2020,"27,707 miles","White exterior, Beige interior","No accidents reported, 1 Owner",29464
Chevrolet Silverado 1500,2023,114 miles,"White exterior, Black interior","No accidents reported, 1 Owner",48995
Toyota Tacoma,2018,"27,599 miles","Silver exterior, Gray interior","No accidents reported, 1 Owner",30998
Toyota RAV4,2022,"37,662 miles","White exterior, Brown interior","No accidents reported, 1 Owner",25994
Kia K5,2022,"27,065 miles","White exterior, Black interior","No accidents reported, 1 Owner",19889
BMW X3,2021,"24,994 miles","Black exterior, Black interior","No accidents reported, 1 Owner",31963
Toyota Sienna,2016,"98,891 miles","White exterior, Gray interior","1 accident reported, 2 Owners",16988
Toyota Corolla,2009,"150,862 miles","Gray exterior, Gray interior","No accidents reported, 1 Owner",5980
Honda Civic,2013,"91,679 miles","Brown exterior, Black interior","No accidents reported, 1 Owner",14599
Volkswagen Tiguan,2020,"34,122 miles","Black exterior, Black interior","No accidents reported, 1 Owner",18250
Land Rover Range Rover Evoque,2023,"8,503 miles","Gray exterior, Black interior","No accidents reported, 1 Owner",40777
Jeep Gladiator,2020,"44,093 miles","White exterior, Black interior","No accidents reported, 2 Owners",30986
Chevrolet Trax,2020,"34,932 miles","Black exterior, Black interior","1 accident reported, 1 Owner",15598
Jeep Wrangler,2012,"94,871 miles","White exterior, Black interior","No accidents reported, 2 Owners",16980
Chevrolet Tahoe,2020,"19,394 miles","Blue exterior, Black interior","No accidents reported, 2 Owners",48998
Kia Sportage,2021,"58,004 miles","Red exterior, Black interior","No accidents reported, 1 Owner",15997
Kia Forte,2023,"21,993 miles","Gray exterior, Black interior","No accidents reported, 1 Owner",18980
Toyota Sienna,2013,"123,281 miles","Gray exterior, Black interior","No accidents reported, 1 Owner",16998
Kia Rio,2020,"31,644 miles","Black exterior, Black interior","2 accidents reported, 1 Owner",14777
Ford Escape,2019,"69,418 miles","White exterior, Gray interior","1 accident reported, 1 Owner",14900
Kia Sportage,2020,"17,869 miles","Gray exterior, Black interior","No accidents reported, 1 Owner",17444
Honda CR-V,2021,"43,092 miles","Silver exterior, Gray interior","No accidents reported, 1 Owner",23518
Ford F-150,2014,"92,666 miles","Black exterior, Gray interior","No accidents reported, 2 Owners",18995
Kia Forte,2021,"19,080 miles","Gray exterior, Black interior","No accidents reported, 1 Owner",18587
Jaguar F-PACE,2020,"36,276 miles","Black exterior, Unknown interior","No accidents reported, 1 Owner",32498
Toyota Corolla Cross,2022,"55,639 miles","Black exterior, Black interior","1 accident reported, 1 Owner",20938
Ram 1500 Classic,2022,"5,833 miles","White exterior, Black interior","No accidents reported, 1 Owner",23720
Acura MDX,2022,"19,654 miles","White exterior, Black interior","No accidents reported, 1 Owner",47998
Toyota Mirai,2019,"39,425 miles","Silver exterior, Unknown interior","No accidents reported, 2 Owners",11999
Dodge Charger,2018,"111,955 miles","Black exterior, Black interior","1 accident reported, 3 Owners",17885
Ford F-150,2019,"65,277 miles","Silver exterior, Black interior","No accidents reported, 1 Owner",50999
Kia Forte,2022,"11,164 miles","Gray exterior, Black interior","1 accident reported, 2 Owners",17345
Dodge Challenger,2020,"21,595 miles","Blue exterior, Black interior","1 accident reported, 1 Owner",46998
Honda Pilot,2012,"84,011 miles","Black exterior, Black interior","No accidents reported, 1 Owner",20998
Nissan Sentra,2017,"83,097 miles","Gray exterior, Black interior","No accidents reported, 2 Owners",8995
Toyota Corolla,2021,"51,414 miles","White exterior, Gray interior","No accidents reported, 2 Owners",19819
Toyota Corolla,2020,"39,731 miles","Blue exterior, Black interior","No accidents reported, 1 Owner",19994
Jeep Cherokee,2021,"11,570 miles","White exterior, Black interior","No accidents reported, 2 Owners",23030
Mercedes-Benz CL,2011,"108,492 miles","Black exterior, Black interior","2 accidents reported, 4 Owners",19987
Hyundai Elantra,2018,"80,798 miles","Blue exterior, Black interior","No accidents reported, 3 Owners",16998
Volkswagen Tiguan,2013,"107,311 miles","White exterior, Black interior","No accidents reported, 3 Owners",7995
Honda Civic,2016,"86,964 miles","Gray exterior, Gray interior","1 accident reported, 4 Owners",13399
BMW X5,2011,"105,424 miles","White exterior, Unknown interior","3 accidents reported, 2 Owners",9995
Toyota Prius,2015,"78,007 miles","Gray exterior, Gray interior","1 accident reported, 2 Owners",16995
Pontiac Solstice,2008,"79,559 miles","Black exterior, Black interior","No accidents reported, 5 Owners",11795
Honda CR-V,2020,"27,752 miles","White exterior, Black interior","1 accident reported, 1 Owner",25998
Volkswagen Tiguan,2020,"30,203 miles","Silver exterior, Black interior","No accidents reported, 1 Owner",20500
Ford Explorer,2020,"28,941 miles","Red exterior, Black interior","No accidents reported, 1 Owner",28998
Honda Accord,2020,"107,595 miles","Gray exterior, Black interior","No accidents reported, 1 Owner",18330
Volkswagen Jetta,2020,"50,867 miles","Gray exterior, Black interior","No accidents reported, 1 Owner",16331
Toyota Prius,2021,"42,749 miles","Silver exterior, Black interior","No accidents reported, 1 Owner",22990
Ford F-150,2019,"102,015 miles","White exterior, Black interior","No accidents reported, 1 Owner",22489
Porsche Macan,2023,"4,309 miles","Gray exterior, Black interior","No accidents reported, 1 Owner",52881
Acura RDX,2017,"80,884 miles","Red exterior, Beige interior","No accidents reported, 1 Owner",17500
Jeep Wrangler,2021,"25,948 miles","Black exterior, Black interior","No accidents reported, 2 Owners",41152
Ford Explorer,2021,"30,871 miles","Black exterior, Black interior","No accidents reported, 1 Owner",31998
Jeep Wrangler,2019,"57,421 miles","Gray exterior, Black interior","No accidents reported, 1 Owner",33998
Ford Escape,2020,"58,381 miles","White exterior, Gray interior","No accidents reported, 2 Owners",19998
Dodge Durango,2014,"135,292 miles","Gray exterior, Black interior","No accidents reported, 2 Owners",12999
Lexus RX,2020,"29,135 miles","Gray exterior, Beige interior","No accidents reported, 1 Owner",36225
Toyota Camry,2021,"30,017 miles","White exterior, Black interior","1 accident reported, 1 Owner",27998
Ford Mustang,2019,"34,211 miles","Silver exterior, Black interior","No accidents reported, 1 Owner",22998
Chevrolet Malibu,2022,"30,848 miles","Gray exterior, Gray interior","No accidents reported, 2 Owners",18998
Subaru Outback,2023,"2,220 miles","White exterior, Gray interior","No accidents reported, 1 Owner",38600
Ford Explorer,2020,"44,280 miles","White exterior, Beige interior","No accidents reported, 1 Owner",25606
Jeep Wrangler,2018,"20,700 miles","Gray exterior, Black interior","No accidents reported, 2 Owners",31998
Chevrolet Silverado 1500,2021,"41,606 miles","White exterior, Black interior","No accidents reported, 1 Owner",36485
Subaru Forester,2021,"15,539 miles","Black exterior, Gray interior","No accidents reported, 1 Owner",23349
Kia Optima,2020,"85,298 miles","White exterior, Black interior","No accidents reported, 2 Owners",15998
Chevrolet Silverado 1500,2023,"2,756 miles","Gray exterior, Black interior","No accidents reported, 1 Owner",53888
BMW 3 Series,2021,"11,716 miles","Blue exterior, Black interior","No accidents reported, 1 Owner",33999
Toyota Camry,2015,"72,858 miles","Gray exterior, Gray interior","No accidents reported, 1 Owner",15991
Ford Transit Cargo Van,2019,"52,902 miles","White exterior, Gray interior","No accidents reported, 1 Owner",34997
Ford Explorer,2018,"54,567 miles","Black exterior, Black interior","2 accidents reported, 3 Owners",19900
Ford Escape,2019,"76,075 miles","Black exterior, Gray interior","No accidents reported, 1 Owner",13995
Ford Bronco Sport,2022,"10,843 miles","Silver exterior, Gray interior","No accidents reported, 1 Owner",27095
Chevrolet Silverado 1500,2023,"3,201 miles","White exterior, Black interior","No accidents reported, 2 Owners",51995
Toyota RAV4,2021,"71,009 miles","White exterior, Black interior","No accidents reported, 1 Owner",22950
Jeep Grand Cherokee,2020,"51,609 miles","Black exterior, Black interior","1 accident reported, 1 Owner",20991
Chevrolet Trailblazer,2022,"5,086 miles","White exterior, Black interior","No accidents reported, 1 Owner",21488
Chevrolet Equinox,2020,"21,350 miles","Gray exterior, Gray interior","No accidents reported, 1 Owner",16995
GMC Terrain,2021,"21,991 miles","White exterior, Black interior","No accidents reported, 1 Owner",22498
Chevrolet Express Cargo Van,2017,"117,697 miles","White exterior, Gray interior","No accidents reported, 1 Owner",18998
Toyota Tacoma,2017,"31,648 miles","Blue exterior, Gray interior","No accidents reported, 2 Owners",29998
Mercedes-Benz CLA,2021,"28,977 miles","Black exterior, Black interior","No accidents reported, 1 Owner",29998
Lexus ES,2020,"20,520 miles","Black exterior, Black interior","No accidents reported, 1 Owner",30900
Ford Super Duty F-250,2020,"85,864 miles","White exterior, Black interior","No accidents reported, 1 Owner",28950
Honda Accord,2021,"27,681 miles","Red exterior, Black interior","No accidents reported, 1 Owner",23751
Land Rover Defender,2023,"7,815 miles","Gray exterior, Black interior","No accidents reported, 1 Owner",74222
Nissan Sentra,2020,"27,966 miles","Blue exterior, Beige interior","No accidents reported, 1 Owner",20998
Toyota Camry,2007,"153,200 miles","White exterior, Black interior","No accidents reported, 2 Owners",6500
Ford Focus,2014,"74,255 miles","Black exterior, Black interior","No accidents reported, 2 Owners",8999
Chevrolet Equinox,2020,"14,250 miles","Blue exterior, Black interior","No accidents reported, 1 Owner",23998
Chevrolet Camaro,2012,"86,277 miles","Silver exterior, Gray interior","1 accident reported, 5 Owners",11999
Kia Sorento,2012,"122,903 miles","Silver exterior, Black interior","No accidents reported, 1 Owner",7498
Audi A3,2023,"3,670 miles","Black exterior, Black interior","No accidents reported, 1 Owner",31894
Land Rover Range Rover,2009,"116,233 miles","Unknown exterior, Unknown interior","1 accident reported, 5 Owners",10995
BMW 4 Series,2021,"11,709 miles","Gray exterior, Black interior","No accidents reported, 1 Owner",35999
Honda HR-V,2018,"38,144 miles","Gray exterior, Black interior","No accidents reported, 1 Owner",18080
Hyundai Kona,2022,"30,250 miles","Silver exterior, Black interior","No accidents reported, 1 Owner",18998
Jeep Grand Cherokee,2017,"110,677 miles","Black exterior, Black interior","1 accident reported, 2 Owners",15995
Subaru Outback,2021,"9,366 miles","Black exterior, Beige interior","No accidents reported, 1 Owner",29998
Jeep Grand Cherokee,2020,"64,488 miles","Black exterior, Black interior","No accidents reported, 1 Owner",24497
Ford Mustang,2017,"15,404 miles","Red exterior, Black interior","No accidents reported, 3 Owners",28499
Honda Odyssey,2016,"108,986 miles","Blue exterior, Unknown interior","No accidents reported, 1 Owner",16998
Kia Forte,2023,"10,189 miles","Gray exterior, Black interior","No accidents reported, 1 Owner",21991
Volkswagen Jetta,2021,"61,784 miles","Blue exterior, Black interior","No accidents reported, 1 Owner",17851
BMW 3 Series,2018,"34,302 miles","Black exterior, Black interior","No accidents reported, 2 Owners",23998
Ram 1500,2021,"85,851 miles","Silver exterior, Gray interior","No accidents reported, 2 Owners",31990
Ford Fusion,2019,"92,186 miles","White exterior, Black interior","No accidents reported, 2 Owners",13290
BMW X5,2018,"35,165 miles","Black exterior, Black interior","No accidents reported, 1 Owner",31998
Ford Transit Passenger Wagon,2022,"34,735 miles","White exterior, Black interior","No accidents reported, 1 Owner",52997
Ford Escape,2017,"66,095 miles","White exterior, Black interior","No accidents reported, 2 Owners",13009
Ford Escape,2017,"104,814 miles","Black exterior, Black interior","No accidents reported, 2 Owners",9950
Land Rover Range Rover Sport,2020,"58,917 miles","White exterior, Unknown interior","No accidents reported, 1 Owner",38775
Toyota RAV4,2018,"50,762 miles","Gray exterior, Black interior","No accidents reported, 2 Owners",22998
Toyota Corolla,2015,"47,326 miles","Blue exterior, Black interior","No accidents reported, 2 Owners",18998
Mercedes-Benz GLC,2022,"56,463 miles","White exterior, Black interior","No accidents reported, 1 Owner",31995
Land Rover Discovery Sport,2016,"117,120 miles","Black exterior, Black interior","No accidents reported, 2 Owners",15995
Honda Civic,2014,"103,064 miles","Gray exterior, Gray interior","No accidents reported, 2 Owners",11500
Maserati Ghibli,2019,"17,904 miles","White exterior, Black interior","No accidents reported, 1 Owner",36987
